strategy,fold,total_samples,total_tumor,total_normal,train_samples,val_samples,train_tumor,train_normal,val_tumor,val_normal,TP,TN,FP,FN,accuracy,precision,recall,f1,roc_auc
none,1,984,894,90,787,197,715,72,179,18,179,18,0,0,1.0,1.0,1.0,1.0,1.0
none,2,984,894,90,787,197,715,72,179,18,179,17,1,0,0.9949,0.9944,1.0,0.9972,1.0
none,3,984,894,90,787,197,715,72,179,18,177,17,1,2,0.9848,0.9944,0.9888,0.9916,0.9981
none,4,984,894,90,787,197,715,72,179,18,179,15,3,0,0.9848,0.9835,1.0,0.9917,0.9994
none,5,984,894,90,788,196,716,72,178,18,178,16,2,0,0.9898,0.9889,1.0,0.9944,0.9997
random_over,1,1788,894,894,1430,358,715,715,179,179,178,179,0,1,0.9972,1.0,0.9944,0.9972,1.0
random_over,2,1788,894,894,1430,358,715,715,179,179,179,179,0,0,1.0,1.0,1.0,1.0,1.0
random_over,3,1788,894,894,1430,358,715,715,179,179,178,179,0,1,0.9972,1.0,0.9944,0.9972,1.0
random_over,4,1788,894,894,1431,357,715,716,179,178,179,178,0,0,1.0,1.0,1.0,1.0,1.0
random_over,5,1788,894,894,1431,357,716,715,178,179,178,179,0,0,1.0,1.0,1.0,1.0,1.0
random_under,1,180,90,90,144,36,72,72,18,18,18,18,0,0,1.0,1.0,1.0,1.0,1.0
random_under,2,180,90,90,144,36,72,72,18,18,18,18,0,0,1.0,1.0,1.0,1.0,1.0
random_under,3,180,90,90,144,36,72,72,18,18,18,17,1,0,0.9722,0.9474,1.0,0.973,1.0
random_under,4,180,90,90,144,36,72,72,18,18,17,18,0,1,0.9722,1.0,0.9444,0.9714,1.0
random_under,5,180,90,90,144,36,72,72,18,18,17,18,0,1,0.9722,1.0,0.9444,0.9714,1.0
smote,1,1788,894,894,1430,358,715,715,179,179,178,179,0,1,0.9972,1.0,0.9944,0.9972,1.0
smote,2,1788,894,894,1430,358,715,715,179,179,179,179,0,0,1.0,1.0,1.0,1.0,1.0
smote,3,1788,894,894,1430,358,715,715,179,179,178,179,0,1,0.9972,1.0,0.9944,0.9972,1.0
smote,4,1788,894,894,1431,357,715,716,179,178,179,178,0,0,1.0,1.0,1.0,1.0,1.0
smote,5,1788,894,894,1431,357,716,715,178,179,178,179,0,0,1.0,1.0,1.0,1.0,1.0
smoteenn,1,1764,870,894,1411,353,696,715,174,179,174,179,0,0,1.0,1.0,1.0,1.0,1.0
smoteenn,2,1764,870,894,1411,353,696,715,174,179,174,179,0,0,1.0,1.0,1.0,1.0,1.0
smoteenn,3,1764,870,894,1411,353,696,715,174,179,174,179,0,0,1.0,1.0,1.0,1.0,1.0
smoteenn,4,1764,870,894,1411,353,696,715,174,179,174,179,0,0,1.0,1.0,1.0,1.0,1.0
smoteenn,5,1764,870,894,1412,352,696,716,174,178,174,178,0,0,1.0,1.0,1.0,1.0,1.0
smotetomek,1,1788,894,894,1430,358,715,715,179,179,178,179,0,1,0.9972,1.0,0.9944,0.9972,1.0
smotetomek,2,1788,894,894,1430,358,715,715,179,179,179,179,0,0,1.0,1.0,1.0,1.0,1.0
smotetomek,3,1788,894,894,1430,358,715,715,179,179,178,179,0,1,0.9972,1.0,0.9944,0.9972,1.0
smotetomek,4,1788,894,894,1431,357,715,716,179,178,179,178,0,0,1.0,1.0,1.0,1.0,1.0
smotetomek,5,1788,894,894,1431,357,716,715,178,179,178,179,0,0,1.0,1.0,1.0,1.0,1.0
class_weight,1,984,894,90,787,197,715,72,179,18,179,18,0,0,1.0,1.0,1.0,1.0,1.0
class_weight,2,984,894,90,787,197,715,72,179,18,179,17,1,0,0.9949,0.9944,1.0,0.9972,1.0
class_weight,3,984,894,90,787,197,715,72,179,18,178,18,0,1,0.9949,1.0,0.9944,0.9972,0.9991
class_weight,4,984,894,90,787,197,715,72,179,18,179,15,3,0,0.9848,0.9835,1.0,0.9917,0.9994
class_weight,5,984,894,90,788,196,716,72,178,18,178,16,2,0,0.9898,0.9889,1.0,0.9944,0.9994
